UBIGEO,DEP,PROV,DIST,CODCP,NOMCP,MNOMCP,CAPITAL,CON_IE,NIVEL,CPINEI,CPINEI2,CPINEI_BKP,FUENTE_G,Z,XGD,YGD,Y_X_COORD
100902,HUANUCO,PUERTO INCA,CODO DEL POZUZO,615366,Santa Rosa,SANTA ROSA,0,1,P,,,,INEI,1425,-75.60967377000,-9.84384565000,-9.84384564999993-75.60967377
021702,ANCASH,RECUAY,CATAC,115453,Mina Madre de Dios,MINA MADRE DE DIOS,0,0,,0217020047,,0217020047,IGN,3957,-77.43427952000,-9.84380752000,-9.84380751999993-77.43427952
100109,HUANUCO,HUANUCO,SANTA MARIA DEL VALLE,511087,San Juan,SAN JUAN,0,0,,,,,IGN,2247,-76.25934853000,-9.84376303000,-9.84376302999993-76.25934853
101106,HUANUCO,YAROWILCA,OBAS,219550,Florida,FLORIDA,0,0,,,,,IGN,3813,-76.69232601000,-9.84365678000,-9.84365677999995-76.69232601
100802,HUANUCO,PACHITEA,CHAGLLA,652398,Parada,PARADA,0,0,,1008020109,,1008020109,MED-GPS,3249,-75.89334669000,-9.84361084000,-9.84361083999994-75.89334669
021104,ANCASH,HUARMEY,HUAYAN,230977,Huacuy,HUACUY,0,0,,,,,IGN,2553,-77.71168253000,-9.84360665000,-9.84360664999997-77.71168253
100317,HUANUCO,DOS DE MAYO,RIPAN,128619,Quisches / Quinchas,QUISCHES / QUINCHAS,0,0,,1003170058,,1003170058,IGN,3337,-76.81308240000,-9.84345002000,-9.84345001999998-76.8130824
101101,HUANUCO,YAROWILCA,CHAVINILLO,543277,Takat / Tacog,TAKAT / TACOG,0,0,,,,,IGN,3597,-76.60836439000,-9.84334990000,-9.84334989999996-76.60836439
100109,HUANUCO,HUANUCO,SANTA MARIA DEL VALLE,223090,Jatunpucro,JATUNPUCRO,0,1,IP,1001090049,,1001090049,MED-GPS,2599,-76.29589094000,-9.84313516000,-9.84313515999997-76.2958909399999
100109,HUANUCO,HUANUCO,SANTA MARIA DEL VALLE,540603,Sexcegora,SEXCEGORA,0,0,,1001090038,,1001090038,IGN,2581,-76.22796851000,-9.84310578000,-9.84310577999997-76.22796851
250203,UCAYALI,ATALAYA,TAHUANIA,128743,Nazareth de Shahuaya,NAZARETH DE SHAHUAYA,0,1,IPS,2502030010,,2502030010,MED-GPS,179,-74.10168003000,-9.84249886000,-9.84249885999998-74.10168003
100317,HUANUCO,DOS DE MAYO,RIPAN,222857,Chu??omachay,CHU?ÊOMACHAY,0,0,,1003170079,,1003170079,IGN,3726,-76.87122952000,-9.84303040000,-9.84303039999998-76.87122952
100104,HUANUCO,HUANUCO,CHURUBAMBA,617826,Shuruyo,SHURUYO,0,0,,1001040073,,1001040073,INEI,1826,-76.14944833300,-9.84472333300,-9.84472333299993-76.149448333
100109,HUANUCO,HUANUCO,SANTA MARIA DEL VALLE,542475,Garbanzo,GARBANZO,0,1,P,1001090043,,1001090043,MED-GPS,2010,-76.25058089000,-9.84287817000,-9.84287816999995-76.25058089
100109,HUANUCO,HUANUCO,SANTA MARIA DEL VALLE,516318,Mercenario,MERCENARIO,0,0,,1001090041,,1001090041,IGN,2250,-76.24491302000,-9.84280515000,-9.84280514999995-76.24491302
